acType,acClass,EngNumb-FAAWeightClass,ICAO WTC,RECAT 1.5 Wake Category,SRS,LAHSO,NumbEngines,EngType,WTClass
AIRD,Fixed-wing,1P/S,Light,F,I,,1,P,S
AIRL,Fixed-wing,2P/S,Light,F,II,,2,P,S
AJ27,Fixed-wing,2J/L,Medium,E,III,,2,J,L
AJET,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
AK1,Fixed-wing,1P/S,Light,F,I,,1,P,S
AKOY,@Fixed-wing,1P/S,Light,F,I,,1,P,S
AKRO,Fixed-wing,1P/S,Light,F,I,,1,P,S
ALBU,Fixed-wing,1P/S,Light,F,I,,1,P,S
ALC1,Fixed-wing,1P/S,Light,F,I,,1,P,S
ALGR,Fixed-wing,1P/S,Light,F,I,,1,P,S
ALH,Helicopter,2T/S,Light,F,I,,2,T,S
ALIG,Fixed-wing,1P/S,Light,F,I,,1,P,S
ALIZ,Fixed-wing,1T/S+,Medium,F,III,,1,T,S+
ALO2,Helicopter,1T/S,Light,F,I,,1,T,S
ALO3,Helicopter,1T/S,Light,F,I,,1,T,S
ALPI,Fixed-wing,1P/S,Light,F,I,,1,P,S
ALSL,Fixed-wing,1P/S,Light,F,I,,1,P,S
ALTO,Fixed-wing,1P/S,Light,F,I,,1,P,S
AM3,Fixed-wing,1P/S,Light,F,I,,1,P,S
AMX*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
AN12,Fixed-wing,4T/L,Medium,D,III,,4,T,L
AN2,Fixed-wing,1P/S,Light,F,I,,1,P,S
AN22,Fixed-wing,4T/H,Heavy,B,III,,4,T,H
AN24,Fixed-wing,2T/L,Medium,D,III,,2,T,L
AN26,Fixed-wing,2T/L,Medium,D,III,,2,T,L
AN28,Fixed-wing,2T/S+,Light,F,III,,2,T,S+
AN3,Fixed-wing,1T/S+,Light,F,III,,1,T,S+
AN30,Fixed-wing,2T/L,Medium,D,III,,2,T,L
AN32,Fixed-wing,2T/L,Medium,D,III,,2,T,L
AN38,Fixed-wing,2T/S+,Medium,F,III,,2,T,S+
AN70,Fixed-wing,4T/H,Medium,D,III,,4,T,H
AN72,Fixed-wing,2J/L,Medium,D,III,,2,J,L
AN8,Fixed-wing,2T/L,Medium,D,III,,2,T,L
ANGL,Fixed-wing,2P/S,Light,F,II,,2,P,S
ANSN,Fixed-wing,2P/S,Light,F,II,,2,P,S
ANST,Helicopter,2T/S,Light,F,I,,2,T,S
AP20,Fixed-wing,1P/S,Light,F,I,,1,P,S
AP22,Fixed-wing,1P/S,Light,F,I,,1,P,S
AP24,@Fixed-wing,1P/S,Light,F,I,,1,P,S
AP26,Fixed-wing,2P/S,Light,F,II,,2,P,S
AP28,Fixed-wing,2P/S,Light,F,II,,2,P,S
