acType,acClass,EngNumb-FAAWeightClass,ICAO WTC,RECAT 1.5 Wake Category,SRS,LAHSO,NumbEngines,EngType,WTClass
C04T,Fixed-wing,2T/S,Light,F,II,4,2,T,S
C06T,Fixed-wing,1T/S,Light,F,I,2,1,T,S
C07T,Fixed-wing,1T/S,Light,F,I,2,1,T,S
C08T,Fixed-wing,CT/S,Light,F,II,,C,T,S
C1,Fixed-wing,2J/L,Medium,D,III,,2,J,L
C101*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
C10T,Fixed-wing,1T/S,Light,F,I,2,1,T,S
C119,Fixed-wing,2P/L,Medium,D,III,5,2,P,L
C120,Fixed-wing,1P/S,Light,F,I,1,1,P,S
C123,Fixed-wing,2P/L,Medium,D,III,,2,P,L
C125,Fixed-wing,3P/L,Medium,E,III,,3,P,L
C130,Fixed-wing,4T/L,Medium,D,III,,4,T,L
C133,Fixed-wing,4T/L,Medium,D,III,,4,T,L
C135,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
C140,Fixed-wing,1P/S,Light,F,I,3,1,P,S
C141,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
C14T,Fixed-wing,2T/S,Light,F,II,5,2,T,S
C15,Fixed-wing,4J/L,Medium,D,III,,4,J,L
C150,Fixed-wing,1P/S,Light,F,I,1,1,P,S
C152,Fixed-wing,1P/S,Light,F,I,1,1,P,S
C160,Fixed-wing,2T/L,Medium,D,III,,2,T,L
C162,Fixed-wing,1P/S,Light,F,I,,1,P,S
C17,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
C170,Fixed-wing,1P/S,Light,F,I,4,1,P,S
C172,Fixed-wing,1P/S,Light,F,I,1,1,P,S
C175,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C177,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C180,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C182,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C185,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C188,Fixed-wing,1P/S,Light,F,I,1,1,P,S
C190,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C195,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C2,Fixed-wing,2T/L,Medium,E,III,,2,T,L
C205,Fixed-wing,1P/S,Light,F,I,3,1,P,S
C206,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C207,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C208,Fixed-wing,1T/S,Light,F,I,3,1,T,S
C210,Fixed-wing,1P/S,Light,F,I,2,1,P,S
C212,Fixed-wing,2T/S+,Medium,F,III,5,2,T,S+
C21T,Fixed-wing,2T/S,Light,F,II,5,2,T,S
C22J,Fixed-wing,2J/S,Light,F,III,,2,J,S
C240,Fixed-wing,1P/S,Light,F,I,,1,P,S
C25A,Fixed-wing,2J/S,Light,F,III,7,2,J,S
C25B,Fixed-wing,2J/S+,Light,F,III,7,2,J,S+
C25C,Fixed-wing,2J/S+,Medium,F,III,7,2,J,S+
C25M,Fixed-wing,2J/S,Light,F,III,,2,J,S
C270,Fixed-wing,1P/S,Light,F,I,,1,P,S
C27J,Fixed-wing,2T/L,Medium,D,III,,2,T,L
C295,Fixed-wing,2T/L,Medium,E,III,,2,T,L
C303,Fixed-wing,2P/S,Light,F,II,2,2,P,S
C309,Fixed-wing,1P/S,Light,F,I,,1,P,S
C30J,Fixed-wing,4T/L,Medium,D,III,,4,T,L
C310,Fixed-wing,2P/S,Light,F,II,4,2,P,S
C320,Fixed-wing,2P/S,Light,F,II,5,2,P,S
C335,Fixed-wing,2P/S,Light,F,II,4,2,P,S
C336,Fixed-wing,2P/S,Light,F,II,3,2,P,S
C5,Fixed-wing,4J/H,Heavy,B,III,,4,J,H
C500,Fixed-wing,2J/S,Light,F,III,6,2,J,S
C501,Fixed-wing,2J/S,Light,F,III,6,2,J,S
C510,Fixed-wing,2J/S,Light,F,III,5,2,J,S
C525,Fixed-wing,2J/S,Light,F,III,7,2,J,S
C526,Fixed-wing,2J/S,Light,F,III,,2,J,S
C550,Fixed-wing,2J/S+,Light,F,III,7,2,J,S+
C551,Fixed-wing,2J/S,Light,F,III,5,2,J,S
